,3
Score,2.475111246109009
History_Std,5.04700231552124
Mee,1.319543480873108
Test_Score,3.4163191318511963
Test_Mee,1.4964792728424072
Trained_Epochs,1000
Old_Best_Epochs,995
Old_History_Last,1.5025824308395386
Old_History_val_Last,1.5620685815811157
Old_History,"[42.93092, 42.19135, 38.661358, 37.552208, 36.167435, 34.65022, 33.568768, 32.804577, 32.245552, 31.807047, 31.444252, 31.1328, 30.859024, 30.618105, 30.392578, 30.18302, 29.988226, 29.79258, 29.594736, 29.392004, 29.183083, 28.959272, 28.722157, 28.473967, 28.206553, 27.911484, 27.589092, 27.242844, 26.865448, 26.450611, 25.994064, 25.494835, 24.95362, 24.378923, 23.777018, 23.154408, 22.531403, 21.92426, 21.31861, 20.731932, 20.170168, 19.63076, 19.11751, 18.624302, 18.16131, 17.721241, 17.308556, 16.919546, 16.549599, 16.201307, 15.873658, 15.564517, 15.2694845, 14.989859, 14.725572, 14.471829, 14.233353, 14.009837, 13.79939, 13.603865, 13.419465, 13.247065, 13.085487, 12.931913, 12.788076, 12.652471, 12.526196, 12.405248, 12.291655, 12.183458, 12.077872, 11.975844, 11.877671, 11.783891, 11.691554, 11.599651, 11.507127, 11.41744, 11.328554, 11.236963, 11.148208, 11.060325, 10.963789, 10.873022, 10.777835, 10.682205, 10.585225, 10.486677, 10.386554, 10.287483, 10.190862, 10.093717, 9.994738, 9.901766, 9.807378, 9.71698, 9.626853, 9.539209, 9.451728, 9.370512, 9.285489, 9.208547, 9.12649, 9.0489025, 8.973279, 8.903705, 8.832612, 8.763145, 8.69434, 8.626786, 8.562456, 8.498669, 8.436594, 8.378226, 8.322699, 8.262173, 8.203462, 8.14758, 8.093124, 8.038712, 7.9868565, 7.9346657, 7.881317, 7.8290834, 7.779991, 7.7323904, 7.680459, 7.6328664, 7.5834527, 7.5358644, 7.489057, 7.440937, 7.3964233, 7.347729, 7.3026605, 7.2550483, 7.2124577, 7.166301, 7.1217027, 7.083179, 7.033661, 6.9931493, 6.945751, 6.905296, 6.866767, 6.818673, 6.7737617, 6.7302985, 6.689567, 6.648283, 6.606631, 6.5652432, 6.5261726, 6.486058, 6.4424844, 6.4021325, 6.363341, 6.322783, 6.28349, 6.2462025, 6.2093177, 6.168043, 6.1295238, 6.0948257, 6.0527005, 6.022606, 5.9833136, 5.9451327, 5.9080935, 5.874104, 5.840292, 5.8043156, 5.7699223, 5.7367, 5.7026787, 5.671422, 5.6366186, 5.60293, 5.5745997, 5.5400543, 5.50881, 5.4764123, 5.4465876, 5.4152546, 5.3847823, 5.3521566, 5.3225484, 5.2982388, 5.2686267, 5.237185, 5.2108865, 5.182928, 5.1495323, 5.122254, 5.0986385, 5.068349, 5.040459, 5.018842, 4.9909816, 4.9663105, 4.9391837, 4.914642, 4.886247, 4.859888, 4.8360996, 4.8116846, 4.7926645, 4.765234, 4.7456517, 4.7228355, 4.7008123, 4.681591, 4.6567783, 4.643536, 4.6165524, 4.601787, 4.5736055, 4.5485015, 4.533057, 4.51392, 4.4898844, 4.4708967, 4.4521856, 4.4333177, 4.4165916, 4.3968196, 4.3768306, 4.358256, 4.3391137, 4.3234243, 4.3039775, 4.286399, 4.2784443, 4.253521, 4.234421, 4.2264843, 4.2031484, 4.1837144, 4.1653857, 4.1509466, 4.1358194, 4.1184607, 4.1021056, 4.099269, 4.083759, 4.058422, 4.04545, 4.0272107, 4.014077, 4.008245, 3.983773, 3.9664814, 3.9513752, 3.935212, 3.9281566, 3.911476, 3.8994324, 3.8858755, 3.8713317, 3.8603168, 3.8481255, 3.8243835, 3.814015, 3.8011765, 3.7908971, 3.7756982, 3.7630923, 3.752679, 3.749325, 3.7223752, 3.7125313, 3.6984255, 3.6850543, 3.67255, 3.6637342, 3.651104, 3.63805, 3.6280754, 3.6134188, 3.6071196, 3.590805, 3.5867274, 3.580029, 3.567672, 3.5498524, 3.53783, 3.5283298, 3.5183115, 3.5085514, 3.4929729, 3.4800625, 3.472372, 3.4668136, 3.448981, 3.4405644, 3.4304624, 3.4208605, 3.4066145, 3.3974826, 3.388697, 3.3783922, 3.3689651, 3.35935, 3.349916, 3.3365486, 3.3285122, 3.320203, 3.310927, 3.3195574, 3.292157, 3.2843792, 3.27144, 3.2629528, 3.2609499, 3.2488842, 3.236225, 3.2303, 3.2224338, 3.2149713, 3.2029347, 3.1911652, 3.1880205, 3.179608, 3.1711159, 3.160151, 3.1575594, 3.1436481, 3.1344533, 3.1252747, 3.129908, 3.1180096, 3.1140559, 3.0970285, 3.0900445, 3.0804417, 3.0703087, 3.066809, 3.052813, 3.0481734, 3.0374322, 3.0296748, 3.0286653, 3.0147886, 3.0104911, 3.0045674, 2.9980786, 2.9989083, 2.9846458, 2.9724567, 2.9648864, 2.9732556, 2.9563003, 2.947447, 2.9422247, 2.9288957, 2.9220536, 2.923597, 2.911206, 2.90076, 2.9019604, 2.8928425, 2.8814294, 2.8755398, 2.8692794, 2.8611696, 2.8631186, 2.8518136, 2.8662074, 2.8379338, 2.8286462, 2.8288743, 2.8163886, 2.8132124, 2.8071659, 2.7999258, 2.7953224, 2.7921546, 2.7811584, 2.7857192, 2.768089, 2.762549, 2.7566478, 2.7592, 2.749634, 2.757195, 2.7353191, 2.7383556, 2.7225273, 2.723674, 2.7231514, 2.7095177, 2.700247, 2.6982155, 2.6882377, 2.6844153, 2.6786509, 2.675673, 2.6665516, 2.6786969, 2.6569564, 2.6489322, 2.6468337, 2.6473305, 2.640448, 2.6302612, 2.623206, 2.6316926, 2.6476014, 2.6112587, 2.6087859, 2.5990055, 2.5933917, 2.588985, 2.5870764, 2.5806832, 2.5833983, 2.5690274, 2.5798848, 2.56343, 2.5589635, 2.5521796, 2.5475113, 2.5413263, 2.5451412, 2.5343215, 2.5363595, 2.5319905, 2.5190353, 2.5178683, 2.5171373, 2.506673, 2.502624, 2.5082765, 2.4951499, 2.4900663, 2.4978063, 2.497771, 2.4795394, 2.4725559, 2.4696205, 2.471965, 2.4597285, 2.4626565, 2.4558098, 2.4578156, 2.442851, 2.447688, 2.4404562, 2.4358006, 2.427616, 2.4221091, 2.4214654, 2.4137337, 2.4110656, 2.4134705, 2.4130056, 2.3992426, 2.3985012, 2.3939195, 2.3938956, 2.3907526, 2.3818543, 2.378559, 2.3800218, 2.3704138, 2.3804271, 2.373317, 2.3611434, 2.3604064, 2.3607702, 2.3579872, 2.3481987, 2.342479, 2.3391175, 2.3373744, 2.343677, 2.3276749, 2.3475473, 2.3219543, 2.3195827, 2.3236067, 2.3227751, 2.311628, 2.3085096, 2.3023539, 2.2978015, 2.2966163, 2.297162, 2.3052075, 2.292965, 2.2850373, 2.2839022, 2.2766583, 2.272821, 2.2702045, 2.28484, 2.2615051, 2.2653987, 2.256167, 2.2581635, 2.2516372, 2.2560768, 2.2440107, 2.242049, 2.24367, 2.233805, 2.2358315, 2.2287784, 2.2286267, 2.2264493, 2.2212102, 2.2163343, 2.2278726, 2.2187786, 2.2098732, 2.204446, 2.2034838, 2.1984382, 2.1969867, 2.195055, 2.1909475, 2.188913, 2.1838872, 2.1963122, 2.1848776, 2.1865122, 2.1760702, 2.1764977, 2.1731348, 2.1706438, 2.1627944, 2.1596007, 2.157489, 2.1543972, 2.1520817, 2.1534953, 2.1565168, 2.1443245, 2.1456087, 2.1444578, 2.1385024, 2.1345463, 2.1383352, 2.1298919, 2.129997, 2.1322646, 2.1238027, 2.1230896, 2.1209373, 2.1128712, 2.1176732, 2.1108685, 2.116013, 2.1129491, 2.1060493, 2.1007137, 2.1029315, 2.0928216, 2.0947523, 2.089361, 2.0877993, 2.083726, 2.0854774, 2.0849302, 2.0794902, 2.08027, 2.0810266, 2.0886765, 2.0714655, 2.0699947, 2.0652478, 2.0602055, 2.0581603, 2.066321, 2.0554945, 2.0525417, 2.053213, 2.0507333, 2.0501997, 2.0461364, 2.040931, 2.0407596, 2.0461204, 2.0341418, 2.0424747, 2.0307388, 2.0279436, 2.0285075, 2.0241868, 2.0228806, 2.020178, 2.0209265, 2.0169811, 2.0331929, 2.0109236, 2.0075245, 2.0087414, 2.0100415, 1.9994292, 2.0068738, 1.9964764, 2.007986, 1.9923421, 1.9988316, 1.9892843, 1.9944419, 1.9841326, 2.0019336, 1.9829271, 1.982327, 1.9871613, 1.9820926, 1.9805253, 2.009009, 1.9789709, 1.971049, 1.9679798, 1.9804384, 1.9623075, 1.9607307, 1.9595213, 1.959474, 1.9574448, 1.9524726, 1.9480076, 1.9496918, 1.9490362, 1.9490895, 1.9449878, 1.9393213, 1.9381733, 1.9338918, 1.9453038, 1.9313643, 1.9306297, 1.928707, 1.9415011, 1.9315851, 1.9225409, 1.9199486, 1.9236212, 1.9247894, 1.9174908, 1.913948, 1.9125227, 1.9105494, 1.9103631, 1.9159561, 1.9035686, 1.9021869, 1.9053152, 1.8994632, 1.9097565, 1.8955508, 1.8983771, 1.8993472, 1.8927766, 1.8974884, 1.8873587, 1.8929011, 1.886919, 1.8905047, 1.8807336, 1.8862678, 1.891526, 1.8730828, 1.8768295, 1.8715838, 1.8914605, 1.8694199, 1.8646188, 1.8700067, 1.8654431, 1.8597816, 1.8603659, 1.856955, 1.8595097, 1.855752, 1.8557546, 1.8578053, 1.8514774, 1.8487034, 1.845232, 1.8503106, 1.8428736, 1.8413239, 1.8412838, 1.8471706, 1.8454164, 1.835134, 1.8453953, 1.8415985, 1.8302618, 1.83153, 1.83055, 1.8252965, 1.8270795, 1.8305675, 1.8196098, 1.8221993, 1.832392, 1.8310623, 1.8136461, 1.8234998, 1.8109283, 1.8304554, 1.8157377, 1.8135277, 1.8061762, 1.8085301, 1.805864, 1.801499, 1.7999772, 1.7958105, 1.7976472, 1.7942817, 1.794326, 1.7932982, 1.79114, 1.7907196, 1.7856952, 1.7852393, 1.7856314, 1.7956146, 1.7879897, 1.7903212, 1.802475, 1.7928454, 1.7762872, 1.7789161, 1.777154, 1.7716386, 1.7859894, 1.7789589, 1.7715383, 1.768023, 1.7675456, 1.7647494, 1.7621794, 1.7631902, 1.7594993, 1.7653074, 1.7717562, 1.7554401, 1.7544607, 1.7546102, 1.7591114, 1.7544663, 1.7480384, 1.7477614, 1.7457187, 1.7590206, 1.754319, 1.744792, 1.7437648, 1.77305, 1.7416507, 1.7380604, 1.7341107, 1.7343525, 1.7366544, 1.7370012, 1.7294161, 1.7473172, 1.7319692, 1.7303567, 1.726962, 1.7304436, 1.7261932, 1.7203729, 1.7358705, 1.7237355, 1.7254919, 1.7163934, 1.716216, 1.7151724, 1.7117474, 1.7246759, 1.7164224, 1.7145425, 1.7068158, 1.7054223, 1.7125272, 1.7041317, 1.7023637, 1.7123518, 1.6998997, 1.718324, 1.6996024, 1.7132095, 1.6995752, 1.6992002, 1.6989762, 1.6959196, 1.6895937, 1.6898788, 1.7019477, 1.6882826, 1.6853188, 1.6840463, 1.6847801, 1.6907291, 1.6809223, 1.684149, 1.6778827, 1.678298, 1.6783304, 1.6736499, 1.6781939, 1.6741, 1.6708841, 1.6878204, 1.6896844, 1.6761469, 1.668238, 1.6652849, 1.6725942, 1.6633323, 1.6665004, 1.6686295, 1.6644769, 1.6609869, 1.6612158, 1.6597683, 1.6564193, 1.6555786, 1.6529593, 1.65466, 1.6655726, 1.6549208, 1.650182, 1.6485493, 1.6657313, 1.649181, 1.6458304, 1.6435479, 1.64357, 1.6507038, 1.6409172, 1.6429547, 1.6503534, 1.650878, 1.6370943, 1.6373975, 1.6403941, 1.6342266, 1.6467367, 1.6331787, 1.6372277, 1.6345912, 1.6446645, 1.6338569, 1.6366879, 1.631619, 1.6251384, 1.6248223, 1.6291592, 1.6249619, 1.6287637, 1.6189475, 1.6306956, 1.6183802, 1.6184204, 1.6172966, 1.6158866, 1.6185261, 1.6112655, 1.617354, 1.6224122, 1.615853, 1.6097792, 1.6087053, 1.6083053, 1.612626, 1.609854, 1.6102512, 1.6058751, 1.6042551, 1.6119919, 1.6006391, 1.5994885, 1.6012665, 1.597942, 1.59732, 1.5945245, 1.5982999, 1.5924835, 1.5940226, 1.5955163, 1.6018455, 1.5988783, 1.6106615, 1.5890813, 1.5883566, 1.593216, 1.5864061, 1.591988, 1.587643, 1.5843915, 1.5863044, 1.5825771, 1.581328, 1.5884864, 1.578098, 1.593834, 1.574233, 1.5867158, 1.5778089, 1.5822582, 1.5778077, 1.572592, 1.6132504, 1.5696878, 1.5830356, 1.5679492, 1.5701249, 1.5711725, 1.5642861, 1.5664668, 1.5644544, 1.5639497, 1.5677673, 1.5638983, 1.5671806, 1.5638317, 1.5577086, 1.5629512, 1.5573685, 1.5572605, 1.5754474, 1.5619762, 1.5644525, 1.5547322, 1.5511009, 1.5527333, 1.5515901, 1.5520942, 1.5485917, 1.5510143, 1.5483036, 1.5467019, 1.5578885, 1.5569439, 1.5435125, 1.5505897, 1.5502589, 1.5445969, 1.5407329, 1.5387006, 1.5505403, 1.5466632, 1.5534744, 1.5445646, 1.53777, 1.5386586, 1.5431705, 1.5347649, 1.5306048, 1.5308414, 1.5452315, 1.5354567, 1.5338812, 1.5362414, 1.5271939, 1.5318258, 1.5302007, 1.5386225, 1.5252274, 1.5265862, 1.5391878, 1.525365, 1.5229305, 1.5220487, 1.5227983, 1.5179908, 1.5256649, 1.5162021, 1.5234178, 1.5172354, 1.5253487, 1.5153697, 1.5190084, 1.5192317, 1.5128189, 1.5175079, 1.5122105, 1.5244347, 1.517776, 1.5179746, 1.5084088, 1.5213827, 1.5215421, 1.5034314, 1.5094097, 1.5025824, 1.5061591, 1.5112622, 1.5027814, 1.5028071, 1.5108209]"
