,3
Score,0.0002701031044125557
History_Std,0.03491235896945
Accuracy,1.0
Test_Score,0.0006303734262473881
Test_Accuracy,1.0
Trained_Epochs,467
Old_Accuracy,1.0
Old_Accuracy_val,1.0
Old_History,"[0.25171736, 0.2456114, 0.2369662, 0.2252532, 0.20597553, 0.18363938, 0.16256556, 0.14722402, 0.13729599, 0.13028543, 0.12477496, 0.12089648, 0.118369326, 0.11592402, 0.11334824, 0.110969074, 0.10886398, 0.10705842, 0.105479054, 0.10382546, 0.10209294, 0.100202695, 0.098063946, 0.09565787, 0.09264412, 0.08914355, 0.08453575, 0.07892532, 0.07268198, 0.06631461, 0.06033927, 0.055075474, 0.050865315, 0.047391042, 0.044466056, 0.042073887, 0.03996632, 0.037852395, 0.035851236, 0.03371851, 0.031295706, 0.028514054, 0.025243169, 0.021972872, 0.018955003, 0.016309056, 0.014016826, 0.012130787, 0.010624761, 0.009479234, 0.008548554, 0.0078083123, 0.007214431, 0.00672678, 0.00631319, 0.0059520043, 0.005636496, 0.0053515276, 0.00509986, 0.004868641, 0.004654649, 0.0044563413, 0.0042743576, 0.004109294, 0.0039563123, 0.003815625, 0.0036862842, 0.0035656847, 0.0034534307, 0.0033493976, 0.0032521624, 0.0031607954, 0.0030747883, 0.0029949087, 0.0029192346, 0.002847804, 0.0027799287, 0.0027150058, 0.0026536991, 0.0025951618, 0.00253985, 0.0024864655, 0.002435654, 0.0023861122, 0.002339004, 0.0022936848, 0.0022503517, 0.0022086434, 0.0021680552, 0.00212931, 0.0020918332, 0.0020556697, 0.002021112, 0.0019874405, 0.0019548577, 0.0019234829, 0.0018929117, 0.0018633528, 0.0018347313, 0.0018066047, 0.0017796698, 0.0017535029, 0.001728209, 0.0017037287, 0.001679789, 0.0016564942, 0.001633956, 0.0016120804, 0.0015908054, 0.0015699641, 0.0015496018, 0.0015300033, 0.001510627, 0.0014917128, 0.0014731539, 0.0014552255, 0.0014377594, 0.0014204922, 0.001403733, 0.0013873375, 0.0013714841, 0.0013560312, 0.0013408111, 0.0013258316, 0.0013111483, 0.0012969073, 0.0012829148, 0.0012691808, 0.0012558998, 0.0012428238, 0.001230058, 0.0012174393, 0.0012050659, 0.001192847, 0.0011810081, 0.0011695289, 0.0011581603, 0.0011469736, 0.001136101, 0.0011254274, 0.0011149703, 0.0011045743, 0.0010943412, 0.0010843076, 0.0010744417, 0.0010648355, 0.0010552802, 0.0010460486, 0.0010370754, 0.0010281339, 0.001019306, 0.0010105822, 0.0010020431, 0.0009937186, 0.000985432, 0.0009772865, 0.00096928206, 0.0009614542, 0.00095374393, 0.00094612257, 0.0009386428, 0.0009313093, 0.0009240655, 0.00091689, 0.00090983143, 0.0009028978, 0.0008960426, 0.00088933395, 0.0008827654, 0.000876224, 0.0008698133, 0.00086348684, 0.0008572604, 0.00085108547, 0.00084497436, 0.000838965, 0.00083302683, 0.00082718825, 0.0008214518, 0.0008157971, 0.0008102021, 0.00080470595, 0.0007992928, 0.0007939508, 0.00078864297, 0.0007834002, 0.0007782865, 0.00077321765, 0.00076819665, 0.0007632639, 0.00075833313, 0.00075349095, 0.0007486934, 0.0007439765, 0.0007393293, 0.0007347433, 0.00073015504, 0.0007256531, 0.00072115666, 0.00071674003, 0.0007124146, 0.0007081512, 0.00070390303, 0.00069973554, 0.0006956078, 0.0006915009, 0.00068741525, 0.0006834233, 0.00067949516, 0.00067561254, 0.00067172875, 0.0006679148, 0.00066408585, 0.00066035375, 0.00065661664, 0.00065297197, 0.00064933917, 0.000645791, 0.0006422608, 0.000638772, 0.00063529436, 0.0006318491, 0.000628489, 0.00062513695, 0.0006218385, 0.00061859435, 0.0006153547, 0.0006121148, 0.00060892035, 0.00060579507, 0.0006026819, 0.0005996082, 0.0005965415, 0.0005935243, 0.0005905343, 0.00058758433, 0.00058461854, 0.0005817125, 0.00057882466, 0.0005759764, 0.0005731793, 0.0005704167, 0.0005676696, 0.0005649282, 0.0005622089, 0.0005595289, 0.0005568869, 0.00055427116, 0.00055164227, 0.00054903113, 0.0005464581, 0.00054391497, 0.0005414115, 0.00053892366, 0.00053644594, 0.0005340145, 0.0005315765, 0.0005291811, 0.00052679033, 0.0005244284, 0.0005220664, 0.00051976985, 0.00051747664, 0.00051519915, 0.0005129444, 0.0005106922, 0.00050845655, 0.0005062523, 0.0005040636, 0.0005018989, 0.0004997694, 0.0004976424, 0.00049553934, 0.00049345294, 0.0004913441, 0.0004893, 0.00048724754, 0.0004852277, 0.00048320706, 0.00048119324, 0.0004791915, 0.00047723408, 0.000475304, 0.0004733804, 0.00047144195, 0.0004695454, 0.00046767242, 0.00046580003, 0.00046396034, 0.00046213795, 0.00046030394, 0.00045847893, 0.00045667455, 0.00045487614, 0.00045312426, 0.00045136744, 0.00044961815, 0.00044788336, 0.00044616856, 0.00044446433, 0.000442781, 0.00044109212, 0.00043940914, 0.00043776288, 0.0004361221, 0.0004345119, 0.00043290306, 0.00043128777, 0.00042969667, 0.00042812515, 0.0004265432, 0.00042498927, 0.0004234418, 0.00042190574, 0.00042038722, 0.00041887682, 0.0004173869, 0.00041590142, 0.0004144282, 0.00041294037, 0.00041148838, 0.0004100381, 0.00040858012, 0.00040715453, 0.00040575318, 0.00040434013, 0.00040293176, 0.00040153254, 0.00040016024, 0.00039877568, 0.00039741083, 0.00039606055, 0.00039471657, 0.00039337183, 0.00039204484, 0.00039073083, 0.0003894205, 0.00038811102, 0.00038681735, 0.00038552968, 0.00038424213, 0.00038297247, 0.00038172174, 0.00038047734, 0.00037924165, 0.00037801827, 0.0003767916, 0.00037556147, 0.00037434747, 0.00037314623, 0.00037195024, 0.00037076365, 0.00036957662, 0.00036841386, 0.00036723856, 0.0003660739, 0.00036491346, 0.00036377765, 0.0003626373, 0.0003614946, 0.00036037597, 0.00035926834, 0.00035816626, 0.00035705775, 0.00035596025, 0.00035486632, 0.00035377656, 0.00035270603, 0.00035162852, 0.0003505558, 0.0003494831, 0.00034843758, 0.00034739907, 0.00034636373, 0.00034533627, 0.0003443197, 0.0003432965, 0.00034227117, 0.00034125877, 0.00034026447, 0.00033926548, 0.00033827245, 0.0003372802, 0.00033629788, 0.00033532234, 0.00033435517, 0.00033337713, 0.00033241895, 0.0003314611, 0.00033051503, 0.0003295766, 0.00032864016, 0.00032770218, 0.0003267772, 0.00032584718, 0.0003249391, 0.00032402846, 0.00032312606, 0.00032222827, 0.0003213325, 0.00032043716, 0.00031954085, 0.00031865967, 0.00031778615, 0.00031691257, 0.00031604775, 0.00031518776, 0.00031433578, 0.0003134822, 0.00031263535, 0.00031179018, 0.00031094943, 0.0003101147, 0.0003092849, 0.0003084547, 0.00030763246, 0.00030681153, 0.00030600117, 0.00030519947, 0.00030439513, 0.0003035886, 0.00030278243, 0.0003019933, 0.0003012086, 0.00030041923, 0.00029964, 0.00029886854, 0.00029809622, 0.0002973293, 0.00029656076, 0.00029579812, 0.0002950449, 0.00029429173, 0.00029354508, 0.00029280127, 0.00029206678, 0.00029131767, 0.00029057436, 0.00028984612, 0.0002891188, 0.00028839035, 0.00028766668, 0.0002869514, 0.00028624304, 0.0002855265, 0.000284821, 0.00028410731, 0.00028340533, 0.00028270704, 0.00028202214, 0.00028132705, 0.00028064032, 0.00027996188, 0.00027928432, 0.00027861094, 0.00027794007, 0.00027727132, 0.00027660746, 0.00027593682, 0.00027527375, 0.0002746133, 0.00027395357, 0.00027331043, 0.00027265953, 0.00027201738, 0.00027137672, 0.0002707355, 0.0002701031]"
Old_History_val,"[0.26485366, 0.25848505, 0.25014487, 0.23957178, 0.22606213, 0.21289091, 0.20165616, 0.19659002, 0.19439529, 0.19006082, 0.18810654, 0.18683158, 0.18525219, 0.18347217, 0.18300198, 0.1814078, 0.1802171, 0.17819394, 0.17612556, 0.17333642, 0.16970485, 0.16769353, 0.16363634, 0.16074349, 0.15584505, 0.15320785, 0.14681007, 0.14060867, 0.13328102, 0.12436637, 0.11672003, 0.108317524, 0.10137896, 0.0976626, 0.09046874, 0.085625514, 0.08147039, 0.07566253, 0.07038036, 0.06553778, 0.059926722, 0.056655794, 0.050216865, 0.044466138, 0.03818705, 0.033487827, 0.028619334, 0.024620067, 0.021888806, 0.019728329, 0.017674427, 0.015863376, 0.014439979, 0.013319607, 0.01249045, 0.011814583, 0.0110953115, 0.01059859, 0.010142156, 0.0097869, 0.0093874615, 0.008964494, 0.008563267, 0.008159375, 0.007855894, 0.0075696385, 0.007319299, 0.007066304, 0.0068671107, 0.0066755074, 0.0064955433, 0.0063577923, 0.0061999504, 0.006052843, 0.005939359, 0.0058362815, 0.005694434, 0.005558587, 0.0054091695, 0.005296502, 0.0051698023, 0.0050741886, 0.0049812985, 0.004867003, 0.0047649154, 0.004696706, 0.0046164286, 0.004547084, 0.0044839387, 0.004392553, 0.0043171886, 0.0042466284, 0.004188923, 0.0041276678, 0.004074339, 0.0040245415, 0.0039751534, 0.0039050635, 0.00385346, 0.0037870943, 0.0037198525, 0.003663228, 0.0036145647, 0.0035719944, 0.0035225516, 0.0034814295, 0.0034241418, 0.0033832144, 0.0033293536, 0.0032824187, 0.0032338875, 0.0032002036, 0.0031611864, 0.003124283, 0.0030833143, 0.0030518095, 0.003020488, 0.0029953169, 0.0029726636, 0.0029375388, 0.0029044484, 0.0028678093, 0.0028340179, 0.0027987058, 0.0027682094, 0.0027373198, 0.0027089189, 0.0026758711, 0.0026556388, 0.0026315355, 0.002606431, 0.0025820355, 0.0025583713, 0.0025343809, 0.002507329, 0.0024831875, 0.002462568, 0.0024406493, 0.002420801, 0.0024010306, 0.002381246, 0.0023620888, 0.002340989, 0.0023198735, 0.0023020105, 0.0022798586, 0.002260198, 0.0022407866, 0.0022204388, 0.0022047227, 0.0021892758, 0.0021667832, 0.0021505333, 0.0021323517, 0.0021160317, 0.0020992171, 0.0020812177, 0.002066438, 0.0020503646, 0.0020319063, 0.0020205963, 0.0020060444, 0.001994601, 0.0019799778, 0.0019650282, 0.0019491841, 0.0019350814, 0.0019204123, 0.0019047975, 0.0018913908, 0.0018778709, 0.0018654523, 0.0018533289, 0.0018429168, 0.0018276582, 0.0018152451, 0.0018040197, 0.0017911218, 0.001776562, 0.0017674237, 0.0017549845, 0.0017475481, 0.0017370367, 0.0017287985, 0.0017168304, 0.0017040803, 0.001692927, 0.0016831118, 0.001673252, 0.0016612664, 0.0016504971, 0.0016379679, 0.0016288648, 0.0016200299, 0.0016098364, 0.0016015171, 0.0015929507, 0.0015826754, 0.0015733892, 0.0015632972, 0.0015523453, 0.0015424265, 0.0015361295, 0.0015298835, 0.0015230008, 0.001512601, 0.0015027166, 0.0014960653, 0.0014887967, 0.0014806174, 0.0014731778, 0.0014662662, 0.001457483, 0.0014506882, 0.0014430897, 0.0014385583, 0.0014299281, 0.0014216682, 0.0014141852, 0.0014059953, 0.0013983774, 0.0013926466, 0.0013866796, 0.0013814496, 0.0013732049, 0.0013646128, 0.001358924, 0.0013517147, 0.001344924, 0.0013371763, 0.0013307439, 0.0013250032, 0.001317773, 0.0013113925, 0.0013038794, 0.0012964152, 0.0012912937, 0.0012846815, 0.0012803177, 0.00127549, 0.0012688339, 0.0012651912, 0.0012599458, 0.0012540062, 0.0012486833, 0.0012424714, 0.0012367992, 0.0012314012, 0.0012253249, 0.0012192616, 0.0012134523, 0.0012075328, 0.0012019331, 0.0011969343, 0.0011922308, 0.001187037, 0.0011818641, 0.0011759095, 0.0011717048, 0.001167201, 0.0011627958, 0.0011589067, 0.0011539867, 0.0011490147, 0.0011449268, 0.0011402246, 0.0011362862, 0.0011314551, 0.001125702, 0.0011206804, 0.0011161221, 0.0011129736, 0.0011070082, 0.0011028794, 0.001097734, 0.0010940841, 0.0010901929, 0.0010859045, 0.0010810023, 0.0010774238, 0.001072917, 0.0010681044, 0.0010641712, 0.0010601612, 0.0010558252, 0.0010520908, 0.0010486658, 0.0010450259, 0.0010408958, 0.0010380424, 0.0010347784, 0.0010304432, 0.0010257724, 0.0010219148, 0.0010191016, 0.0010149194, 0.0010114773, 0.0010085424, 0.0010060687, 0.0010037766, 0.0009998541, 0.0009963673, 0.0009934808, 0.0009906827, 0.0009860499, 0.0009823095, 0.0009772616, 0.00097451475, 0.0009710565, 0.00096787506, 0.0009654582, 0.00096154504, 0.0009585719, 0.0009539292, 0.0009503305, 0.00094725535, 0.0009443011, 0.0009409792, 0.0009377255, 0.0009343956, 0.0009308386, 0.0009273988, 0.00092474994, 0.00092245045, 0.00091995485, 0.0009178893, 0.0009157137, 0.0009129478, 0.0009092755, 0.00090695365, 0.0009043392, 0.0009012621, 0.00089790364, 0.00089484244, 0.0008919258, 0.00088937185, 0.0008873693, 0.00088466867, 0.00088147435, 0.00087858585, 0.00087591645, 0.0008730524, 0.00087004615, 0.00086758094, 0.0008656532, 0.0008626399, 0.00086021546, 0.0008569521, 0.0008540451, 0.0008513868, 0.0008486591, 0.0008460088, 0.0008433339, 0.0008411601, 0.00083887455, 0.0008365872, 0.0008343696, 0.000831928, 0.0008283543, 0.0008253532, 0.00082249567, 0.0008198061, 0.0008173515, 0.0008155248, 0.0008132202, 0.0008115108, 0.0008088007, 0.0008073267, 0.00080546044, 0.00080297224, 0.00080082496, 0.00079865917, 0.0007960931, 0.0007940211, 0.00079147524, 0.00078928896, 0.0007868045, 0.0007845777, 0.00078262825, 0.0007799893, 0.0007786797, 0.000776655, 0.000774183, 0.0007726838, 0.0007704061, 0.0007682356, 0.0007661923, 0.00076364435, 0.000761456, 0.00075981463, 0.0007580959, 0.00075578864, 0.00075376977, 0.00075167714, 0.00074957014, 0.00074803183, 0.0007459451, 0.00074409606, 0.0007426652, 0.00074138533, 0.00073937577, 0.00073704205, 0.00073533057, 0.000733091, 0.0007310566, 0.000729461, 0.0007278596, 0.00072593254, 0.000724075, 0.0007224357, 0.0007205147, 0.0007189228, 0.0007170905, 0.00071556517, 0.00071399426, 0.00071270904, 0.0007107415, 0.0007086082, 0.00070664805, 0.00070463726, 0.000702912, 0.00070081465, 0.0006986272, 0.00069695996, 0.00069454376, 0.00069300877, 0.0006912091, 0.0006896727, 0.000687705, 0.0006862689, 0.0006847591, 0.0006834776, 0.0006818159, 0.0006798265, 0.00067844917, 0.0006770569, 0.00067570555, 0.0006738499, 0.000672379, 0.0006706284, 0.00066880876, 0.00066755497, 0.00066568475, 0.0006643483, 0.00066257594, 0.00066189055, 0.0006605913, 0.00065952813, 0.0006583435, 0.000656639, 0.0006550363, 0.0006537494, 0.00065187283, 0.0006504441, 0.0006494362, 0.00064786535, 0.00064653077, 0.0006447916, 0.0006435592, 0.000641887, 0.00064075395, 0.00063931313, 0.00063790864, 0.000636219, 0.00063453504, 0.0006331613, 0.000631416, 0.0006303734]"
