,4
Score,0.0002616970450617373
History_Std,0.052748750895261765
Accuracy,1.0
Test_Score,0.0006814872031100094
Test_Accuracy,1.0
Trained_Epochs,249
Old_Accuracy,1.0
Old_Accuracy_val,1.0
Old_History,"[0.23769014, 0.23505576, 0.23199598, 0.22957909, 0.22703399, 0.2241973, 0.22103629, 0.21758726, 0.21273154, 0.20652853, 0.19904278, 0.19054487, 0.181017, 0.17088331, 0.15933844, 0.14762583, 0.13604245, 0.12424223, 0.113364786, 0.10319471, 0.093763456, 0.08517577, 0.0771015, 0.069394544, 0.061945852, 0.054907635, 0.048676845, 0.043264773, 0.03873062, 0.03507663, 0.032033265, 0.029316196, 0.02689059, 0.024628349, 0.022601003, 0.020778153, 0.019148711, 0.017730791, 0.016499404, 0.01551319, 0.014428624, 0.0135813, 0.0128241405, 0.012096671, 0.011393709, 0.010815201, 0.010211999, 0.009689462, 0.009221424, 0.008721375, 0.008278965, 0.007938804, 0.007531158, 0.007147944, 0.006905129, 0.0065371976, 0.006227324, 0.006009174, 0.0057592047, 0.005488965, 0.0052451263, 0.0050338493, 0.0048371516, 0.004649861, 0.0044762585, 0.0043047867, 0.0041452944, 0.0039910795, 0.0038446656, 0.0037041768, 0.0035779742, 0.00345873, 0.0033313544, 0.003213659, 0.0031058544, 0.003002279, 0.0029028666, 0.0028082281, 0.002718872, 0.0026345765, 0.0025508958, 0.002473918, 0.002403214, 0.0023287362, 0.0022578493, 0.002190687, 0.0021255014, 0.0020642048, 0.0020055927, 0.0019495306, 0.0018959137, 0.001843936, 0.0017948503, 0.0017479326, 0.0017029054, 0.0016593619, 0.0016177845, 0.0015778887, 0.0015393503, 0.0015021063, 0.0014651371, 0.00142965, 0.0013970344, 0.0013646055, 0.0013341551, 0.0013038768, 0.0012740023, 0.001245401, 0.0012180664, 0.0011917194, 0.0011666677, 0.0011425641, 0.0011195393, 0.0010971599, 0.0010754605, 0.0010544014, 0.0010339798, 0.0010142023, 0.000995231, 0.0009769151, 0.00095908705, 0.00094181794, 0.00092505896, 0.00090841606, 0.0008924187, 0.0008769999, 0.0008618957, 0.000847433, 0.0008335119, 0.0008199037, 0.0008066024, 0.00079386367, 0.0007816689, 0.00076963706, 0.00075755443, 0.00074610213, 0.00073461985, 0.0007238009, 0.0007131488, 0.00070280203, 0.00069273566, 0.0006828771, 0.0006733151, 0.00066397036, 0.00065488945, 0.000646077, 0.00063738995, 0.00062892574, 0.00062064815, 0.00061259576, 0.00060468743, 0.0005969328, 0.0005894677, 0.0005821069, 0.0005749907, 0.00056798727, 0.00056117604, 0.00055439014, 0.00054786244, 0.0005414992, 0.0005352588, 0.0005291678, 0.0005231943, 0.0005173048, 0.000511563, 0.0005059903, 0.000500557, 0.00049520464, 0.0004899381, 0.00048484604, 0.00047984446, 0.00047490132, 0.00047015923, 0.00046552168, 0.00046092828, 0.00045647344, 0.0004520073, 0.0004475912, 0.00044334808, 0.0004391291, 0.00043493704, 0.00043080866, 0.00042677994, 0.00042276035, 0.00041887243, 0.00041506017, 0.00041139356, 0.0004077827, 0.0004041977, 0.0004006603, 0.00039708315, 0.0003936146, 0.00039017206, 0.00038687725, 0.00038363022, 0.00038044003, 0.0003773302, 0.00037424464, 0.00037124942, 0.0003682615, 0.00036528494, 0.00036240264, 0.00035954444, 0.00035672192, 0.0003539766, 0.00035125576, 0.0003485414, 0.00034589006, 0.00034327983, 0.0003407169, 0.00033822277, 0.00033572767, 0.0003332201, 0.00033080592, 0.00032843006, 0.0003261006, 0.00032381163, 0.00032150006, 0.0003192438, 0.00031697517, 0.0003147484, 0.0003125398, 0.00031037105, 0.000308211, 0.00030608117, 0.00030399856, 0.00030192774, 0.00029990138, 0.00029787753, 0.00029589038, 0.00029393428, 0.0002920447, 0.00029017782, 0.0002882984, 0.0002864549, 0.00028465426, 0.00028287512, 0.00028113156, 0.00027937794, 0.00027767406, 0.00027600053, 0.00027434534, 0.0002727269, 0.00027111988, 0.00026951171, 0.00026789925, 0.00026631003, 0.00026475888, 0.0002632165, 0.00026169705]"
Old_History_val,"[0.23221663, 0.2284388, 0.22360441, 0.22097445, 0.22003157, 0.21986082, 0.22049914, 0.22067833, 0.21731009, 0.21309648, 0.2068547, 0.20140238, 0.19472733, 0.18515526, 0.17680804, 0.16774665, 0.15851124, 0.14649098, 0.13656037, 0.12599446, 0.11528725, 0.10525901, 0.09572121, 0.08610381, 0.07730982, 0.06892395, 0.0613754, 0.05447348, 0.04887301, 0.044399615, 0.0408766, 0.038266636, 0.036368642, 0.034512136, 0.03280445, 0.03125078, 0.029910138, 0.028633615, 0.027606206, 0.026621766, 0.025910603, 0.025181798, 0.024542285, 0.02384038, 0.023142742, 0.022467436, 0.021798832, 0.02119508, 0.020581687, 0.019907998, 0.019251954, 0.018671334, 0.018128188, 0.017642727, 0.017213812, 0.016627714, 0.016042722, 0.015531648, 0.015060739, 0.0146441525, 0.014243938, 0.013800418, 0.01341004, 0.012999489, 0.012615603, 0.01222044, 0.011772483, 0.011377431, 0.011031936, 0.01068743, 0.010406494, 0.010102045, 0.009734171, 0.00937484, 0.009060772, 0.008765726, 0.008475769, 0.0081967795, 0.007934562, 0.007686225, 0.007489852, 0.007296506, 0.0071219015, 0.006887634, 0.0066663767, 0.0064590788, 0.006254398, 0.006065003, 0.0058831926, 0.00571338, 0.0055395877, 0.0053915656, 0.0052330103, 0.0050830846, 0.0049526235, 0.0048339884, 0.0047254455, 0.004607014, 0.0044947113, 0.0043833945, 0.004253457, 0.0041292617, 0.004010589, 0.0039100093, 0.0038114693, 0.0037250349, 0.0036389788, 0.003561382, 0.0034807718, 0.0034119587, 0.0033417216, 0.0032656898, 0.003199405, 0.0031316604, 0.0030647004, 0.0029938773, 0.0029227817, 0.00285964, 0.0028002819, 0.002739582, 0.0026827753, 0.0026287178, 0.00257517, 0.0025299669, 0.0024857009, 0.0024413897, 0.002394497, 0.0023514582, 0.0023126318, 0.0022708913, 0.0022288256, 0.0021889454, 0.0021488583, 0.0021129411, 0.002078892, 0.0020473925, 0.0020172675, 0.0019843923, 0.0019557294, 0.0019260346, 0.0018941698, 0.0018663619, 0.0018367817, 0.0018088749, 0.0017812764, 0.0017547318, 0.001730936, 0.001707263, 0.001682446, 0.0016578324, 0.0016348826, 0.001611361, 0.0015884745, 0.0015659994, 0.0015440086, 0.0015220972, 0.0015010695, 0.0014810687, 0.0014622052, 0.0014434395, 0.0014262544, 0.001409699, 0.0013941035, 0.0013790255, 0.0013639391, 0.0013476415, 0.001331304, 0.0013160855, 0.0013009199, 0.0012863755, 0.0012729658, 0.001259127, 0.0012456161, 0.0012318621, 0.0012191945, 0.0012061364, 0.0011942089, 0.0011818954, 0.0011695331, 0.0011578719, 0.001146523, 0.0011356218, 0.0011249307, 0.0011147177, 0.0011050096, 0.0010955278, 0.0010859595, 0.0010765749, 0.0010673258, 0.0010578797, 0.001047706, 0.0010379499, 0.0010276526, 0.0010183322, 0.0010087517, 0.000999503, 0.0009907893, 0.0009823345, 0.00097382354, 0.00096566003, 0.00095783966, 0.0009500313, 0.00094236206, 0.0009350492, 0.00092842005, 0.0009215725, 0.00091403956, 0.0009069526, 0.00090043084, 0.0008939285, 0.0008871697, 0.0008802547, 0.0008732755, 0.0008667939, 0.0008602181, 0.0008540995, 0.0008481414, 0.0008420625, 0.00083619554, 0.00083016604, 0.0008244996, 0.0008185729, 0.00081287767, 0.00080662896, 0.000800641, 0.0007951192, 0.00078966795, 0.00078411325, 0.00077852164, 0.0007730925, 0.00076800707, 0.00076307793, 0.0007582289, 0.0007532551, 0.0007483437, 0.00074338046, 0.0007389121, 0.0007342412, 0.00072953745, 0.0007251139, 0.0007206908, 0.00071617163, 0.0007119761, 0.0007074998, 0.0007029943, 0.0006985717, 0.00069408276, 0.00069006387, 0.0006856823, 0.0006814872]"
